anio,pib_total_mxn_billones,pib_per_capita_mxn
2005,16787.1,158651.02
2006,18665.9,174034.97
2007,20167.7,185409.01
2008,21250.8,192533.79
2009,17260.3,154110.35
2010,20223.9,177989.74
2011,22485.0,195108.39
2012,22962.4,196565.39
2013,24285.6,205212.91
2014,24963.9,208406.81
2015,22197.4,183339.93
2016,20348.5,166447.77
2017,21784.4,176534.87
2018,22984.2,184502.68
2019,23858.8,189712.44
2020,20510.0,161752.26
2021,24086.8,188696.97
2022,26829.2,208603.73
2023,32817.8,252950.95
2024,33895.8,259021.54
