fecha,anio,trimestre,pib_total_millones,pib_per_capita
2018-01-01,2018,1,23568390.17,190046.21
2018-04-01,2018,2,24395733.69,196717.58
2018-07-01,2018,3,24137286.23,194633.56
2018-10-01,2018,4,24605271.42,198407.21
2019-01-01,2019,1,23790592.91,190303.43
2019-04-01,2019,2,24154801.61,193216.77
2019-07-01,2019,3,24024905.70,192177.72
2019-10-01,2019,4,24356623.32,194831.17
2020-01-01,2020,1,23449972.17,186090.21
2020-04-01,2020,2,19252746.13,152782.60
2020-07-01,2020,3,22072201.56,175156.74
2020-10-01,2020,4,23504819.16,186525.46
2021-01-01,2021,1,22841382.92,179833.58
2021-04-01,2021,2,23623518.49,185991.45
2021-07-01,2021,3,23204755.17,182694.47
2021-10-01,2021,4,23949667.87,188559.28
2022-01-01,2022,1,23440966.47,183112.52
2022-04-01,2022,2,24310226.02,189902.87
2022-07-01,2022,3,24289301.40,189739.41
2022-10-01,2022,4,25051880.08,195696.41
2023-01-01,2023,1,24330026.11,188584.39
2023-04-01,2023,2,25106433.32,194602.39
2023-07-01,2023,3,25090504.91,194478.93
2023-10-01,2023,4,25581872.03,198287.57
2024-01-01,2024,1,24743029.86,190310.50
2024-04-01,2024,2,25625594.21,197098.73
2024-07-01,2024,3,25442015.96,195686.74
2024-10-01,2024,4,25650242.57,197288.31
2025-01-01,2025,1,24881282.12,189913.16
2025-04-01,2025,2,25608148.16,195461.16
2025-07-01,2025,3,25411486.27,193960.08
