iso,country,year,val
USA,United States,2020,84205000000.0
FRA,France,2020,35958000000.0
AUS,Australia,2020,26234000000.0
ARE,United Arab Emirates,2020,24615400390.625
ITA,Italy,2020,20459000000.0
AUT,Austria,2020,15362000000.0
THA,Thailand,2020,15360000000.0
QAT,Qatar,2020,14318000000.0
TUR,Turkiye,2020,13771000000.0
IND,India,2020,13413000000.0
KOR,"Korea, Rep.",2020,11776000000.0
MEX,Mexico,2020,11449000000.0
JPN,Japan,2020,11395000000.0
NLD,Netherlands,2020,10926200195.3125
PRT,Portugal,2020,10522000000.0
